"Gene","Tissue","Group"
"Prom1","Newly Formed Oligodendrocyte","Group enriched"
"Efhd1","Myelinating Oligodendrocytes","Group enriched"
"Efhd1","Newly Formed Oligodendrocyte","Group enriched"
"Efhd1","Astrocytes","Group enriched"
"Gjc2","Myelinating Oligodendrocytes","Group enriched"
"Gjc2","Newly Formed Oligodendrocyte","Group enriched"
"Bdp1","Astrocytes","Group enriched"
"Bdp1","Endothelial Cells","Group enriched"
"Bdp1","Neuron","Group enriched"
"Bdp1","Oligodendrocyte Precursor Cell","Group enriched"
"Bdp1","Newly Formed Oligodendrocyte","Group enriched"
"Mboat1","Myelinating Oligodendrocytes","Group enriched"
"Mboat1","Oligodendrocyte Precursor Cell","Group enriched"
"Mboat1","Newly Formed Oligodendrocyte","Group enriched"
"Mboat1","Neuron","Group enriched"
"Mboat1","Endothelial Cells","Group enriched"
"Hspa12b","Endothelial Cells","Tissue enriched"
"Wwtr1","Endothelial Cells","Group enriched"
"Wwtr1","Astrocytes","Group enriched"
"Kcnc2","Neuron","Tissue enriched"
"Robo4","Endothelial Cells","Tissue enriched"
"Pde4d","Newly Formed Oligodendrocyte","Group enriched"
"Pde4d","Neuron","Group enriched"
"Pde4d","Oligodendrocyte Precursor Cell","Group enriched"
"Pde4d","Astrocytes","Group enriched"
"Pde4d","Endothelial Cells","Group enriched"
"Stox2","Astrocytes","Group enriched"
"Stox2","Newly Formed Oligodendrocyte","Group enriched"
"Stox2","Neuron","Group enriched"
"Stox2","Oligodendrocyte Precursor Cell","Group enriched"
"Stox2","Myelinating Oligodendrocytes","Group enriched"
"Stox2","Endothelial Cells","Group enriched"
"Rnf165","Neuron","Group enriched"
"Rnf165","Oligodendrocyte Precursor Cell","Group enriched"
"Cbwd1","Endothelial Cells","Group enriched"
"Cbwd1","Newly Formed Oligodendrocyte","Group enriched"
"Cbwd1","Astrocytes","Group enriched"
"Cbwd1","Oligodendrocyte Precursor Cell","Group enriched"
"Cbwd1","Neuron","Group enriched"
"Cbwd1","Myelinating Oligodendrocytes","Group enriched"
"Dimt1","Neuron","Group enriched"
"Dimt1","Oligodendrocyte Precursor Cell","Group enriched"
"Dimt1","Endothelial Cells","Group enriched"
"Dimt1","Astrocytes","Group enriched"
"Dimt1","Newly Formed Oligodendrocyte","Group enriched"
"BC057022","Myelinating Oligodendrocytes","Group enriched"
"BC057022","Newly Formed Oligodendrocyte","Group enriched"
"BC057022","Neuron","Group enriched"
"BC057022","Oligodendrocyte Precursor Cell","Group enriched"
"Ift74","Astrocytes","Group enriched"
"Ift74","Endothelial Cells","Group enriched"
"Ift74","Oligodendrocyte Precursor Cell","Group enriched"
"Ift74","Neuron","Group enriched"
"Ift74","Newly Formed Oligodendrocyte","Group enriched"
"Elmod1","Neuron","Group enriched"
"Elmod1","Newly Formed Oligodendrocyte","Group enriched"
"Rgs6","Astrocytes","Group enriched"
"Rgs6","Endothelial Cells","Group enriched"
"Rgs6","Neuron","Group enriched"
"Rgs6","Oligodendrocyte Precursor Cell","Group enriched"
"Aste1","Astrocytes","Group enriched"
"Aste1","Oligodendrocyte Precursor Cell","Group enriched"
"Aste1","Endothelial Cells","Group enriched"
"Aste1","Newly Formed Oligodendrocyte","Group enriched"
"Aste1","Neuron","Group enriched"
"Tm4sf1","Endothelial Cells","Tissue enriched"
"Crtac1","Neuron","Group enriched"
"Crtac1","Myelinating Oligodendrocytes","Group enriched"
"Crtac1","Oligodendrocyte Precursor Cell","Group enriched"
"Crtac1","Newly Formed Oligodendrocyte","Group enriched"
"L1cam","Neuron","Tissue enriched"
"Gorab","Oligodendrocyte Precursor Cell","Group enriched"
"Gorab","Astrocytes","Group enriched"
"Gorab","Newly Formed Oligodendrocyte","Group enriched"
"Gorab","Neuron","Group enriched"
"Gorab","Endothelial Cells","Group enriched"
"Gorab","Myelinating Oligodendrocytes","Group enriched"
"Tmtc3","Astrocytes","Group enriched"
"Tmtc3","Endothelial Cells","Group enriched"
"Tmtc3","Oligodendrocyte Precursor Cell","Group enriched"
"Tmtc3","Neuron","Group enriched"
"Tmtc3","Newly Formed Oligodendrocyte","Group enriched"
"Plxnc1","Neuron","Group enriched"
"Plxnc1","Oligodendrocyte Precursor Cell","Group enriched"
"Plxnc1","Astrocytes","Group enriched"
"E130309D14Rik","Neuron","Group enriched"
"E130309D14Rik","Oligodendrocyte Precursor Cell","Group enriched"
"Acy3","Myelinating Oligodendrocytes","Group enriched"
"Acy3","Endothelial Cells","Group enriched"
"Acy3","Newly Formed Oligodendrocyte","Group enriched"
"2810417H13Rik","Endothelial Cells","Group enriched"
"2810417H13Rik","Oligodendrocyte Precursor Cell","Group enriched"
"Ppapdc1a","Oligodendrocyte Precursor Cell","Tissue enriched"
"Rif1","Astrocytes","Group enriched"
"Rif1","Oligodendrocyte Precursor Cell","Group enriched"
"Rif1","Endothelial Cells","Group enriched"
"Rif1","Neuron","Group enriched"
"Rif1","Newly Formed Oligodendrocyte","Group enriched"
"Sox17","Endothelial Cells","Tissue enriched"
"Tspan15","Newly Formed Oligodendrocyte","Group enriched"
"Tspan15","Myelinating Oligodendrocytes","Group enriched"
"Rimbp2","Neuron","Group enriched"
"Rimbp2","Oligodendrocyte Precursor Cell","Group enriched"
"Wdr19","Astrocytes","Group enriched"
"Wdr19","Newly Formed Oligodendrocyte","Group enriched"
"Wdr19","Oligodendrocyte Precursor Cell","Group enriched"
"Wdr19","Endothelial Cells","Group enriched"
"Wdr19","Neuron","Group enriched"
"Wdr19","Myelinating Oligodendrocytes","Group enriched"
"Mia1","Neuron","Group enriched"
"Mia1","Astrocytes","Group enriched"
"Nuf2","Oligodendrocyte Precursor Cell","Group enriched"
"Nuf2","Endothelial Cells","Group enriched"
"Nuf2","Astrocytes","Group enriched"
"2610034B18Rik","Oligodendrocyte Precursor Cell","Group enriched"
"2610034B18Rik","Newly Formed Oligodendrocyte","Group enriched"
"2610034B18Rik","Endothelial Cells","Group enriched"
"2610034B18Rik","Astrocytes","Group enriched"
"2610034B18Rik","Myelinating Oligodendrocytes","Group enriched"
"2610034B18Rik","Neuron","Group enriched"
"Car10","Neuron","Tissue enriched"
"Npas4","Neuron","Tissue enriched"
"Slc25a40","Astrocytes","Group enriched"
"Slc25a40","Endothelial Cells","Group enriched"
"Slc25a40","Oligodendrocyte Precursor Cell","Group enriched"
"Slc25a40","Newly Formed Oligodendrocyte","Group enriched"
"Slc25a40","Neuron","Group enriched"
"Homer2","Neuron","Group enriched"
"Homer2","Oligodendrocyte Precursor Cell","Group enriched"
"Cntn1","Oligodendrocyte Precursor Cell","Group enriched"
"Cntn1","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd12","Neuron","Group enriched"
"Ankrd12","Astrocytes","Group enriched"
"Ankrd12","Oligodendrocyte Precursor Cell","Group enriched"
"Ankrd12","Newly Formed Oligodendrocyte","Group enriched"
"Ankrd12","Endothelial Cells","Group enriched"
"E130203B14Rik","Endothelial Cells","Group enriched"
"E130203B14Rik","Oligodendrocyte Precursor Cell","Group enriched"
"E130203B14Rik","Astrocytes","Group enriched"
"Kcne4","Endothelial Cells","Group enriched"
"Kcne4","Newly Formed Oligodendrocyte","Group enriched"
"Kcne4","Oligodendrocyte Precursor Cell","Group enriched"
"Kcne4","Myelinating Oligodendrocytes","Group enriched"
"Lin9","Endothelial Cells","Group enriched"
"Lin9","Oligodendrocyte Precursor Cell","Group enriched"
"Lin9","Astrocytes","Group enriched"
"Lin9","Neuron","Group enriched"
"Lin9","Newly Formed Oligodendrocyte","Group enriched"
"Rbp1","Endothelial Cells","Group enriched"
"Rbp1","Astrocytes","Group enriched"
"A630072M18Rik","Endothelial Cells","Tissue enriched"
"Tspan2","Newly Formed Oligodendrocyte","Group enriched"
"Tspan2","Myelinating Oligodendrocytes","Group enriched"
"9930012K11Rik","Endothelial Cells","Group enriched"
"9930012K11Rik","Myelinating Oligodendrocytes","Group enriched"
"9930012K11Rik","Newly Formed Oligodendrocyte","Group enriched"
"Tpx2","Oligodendrocyte Precursor Cell","Group enriched"
"Tpx2","Astrocytes","Group enriched"
"Tpx2","Endothelial Cells","Group enriched"
"Sestd1","Endothelial Cells","Group enriched"
"Sestd1","Astrocytes","Group enriched"
"Sestd1","Oligodendrocyte Precursor Cell","Group enriched"
"Sestd1","Neuron","Group enriched"
"Sestd1","Newly Formed Oligodendrocyte","Group enriched"
"D2Ertd750e","Oligodendrocyte Precursor Cell","Group enriched"
"D2Ertd750e","Endothelial Cells","Group enriched"
"D2Ertd750e","Astrocytes","Group enriched"
"Kif23","Endothelial Cells","Group enriched"
"Kif23","Oligodendrocyte Precursor Cell","Group enriched"
"Kif23","Astrocytes","Group enriched"
"Smc4","Astrocytes","Group enriched"
"Smc4","Endothelial Cells","Group enriched"
"Smc4","Oligodendrocyte Precursor Cell","Group enriched"
"Fam43b","Neuron","Group enriched"
"Fam43b","Oligodendrocyte Precursor Cell","Group enriched"
"Arhgef10","Newly Formed Oligodendrocyte","Group enriched"
"Arhgef10","Myelinating Oligodendrocytes","Group enriched"
"Prkar2b","Neuron","Group enriched"
"Prkar2b","Oligodendrocyte Precursor Cell","Group enriched"
"Prkar2b","Newly Formed Oligodendrocyte","Group enriched"
"Rab11fip1","Endothelial Cells","Tissue enriched"
"Mfap4","Oligodendrocyte Precursor Cell","Group enriched"
"Mfap4","Neuron","Group enriched"
"Ints2","Astrocytes","Group enriched"
"Ints2","Oligodendrocyte Precursor Cell","Group enriched"
"Ints2","Newly Formed Oligodendrocyte","Group enriched"
"Ints2","Neuron","Group enriched"
"Ints2","Endothelial Cells","Group enriched"
"Ablim3","Neuron","Tissue enriched"
"Elavl4","Neuron","Group enriched"
"Elavl4","Oligodendrocyte Precursor Cell","Group enriched"
"Lrp8","Endothelial Cells","Group enriched"
"Lrp8","Neuron","Group enriched"
"Lrp8","Astrocytes","Group enriched"
"Unc5b","Myelinating Oligodendrocytes","Group enriched"
"Unc5b","Endothelial Cells","Group enriched"
"Unc5b","Newly Formed Oligodendrocyte","Group enriched"
"Unc5b","Neuron","Group enriched"
"Lrrc1","Myelinating Oligodendrocytes","Group enriched"
"Lrrc1","Oligodendrocyte Precursor Cell","Group enriched"
"Lrrc1","Newly Formed Oligodendrocyte","Group enriched"
"Lrrc1","Neuron","Group enriched"
"Lrrc1","Astrocytes","Group enriched"
"Lmo3","Neuron","Group enriched"
"Lmo3","Oligodendrocyte Precursor Cell","Group enriched"
"Ica1l","Neuron","Group enriched"
"Ica1l","Oligodendrocyte Precursor Cell","Group enriched"
"Ica1l","Endothelial Cells","Group enriched"
"Ica1l","Newly Formed Oligodendrocyte","Group enriched"
"Slc5a3","Neuron","Group enriched"
"Slc5a3","Astrocytes","Group enriched"
"Slc5a3","Oligodendrocyte Precursor Cell","Group enriched"
"Slc5a3","Newly Formed Oligodendrocyte","Group enriched"
"Slc5a3","Endothelial Cells","Group enriched"
"Slc5a3","Myelinating Oligodendrocytes","Group enriched"
"Il1rap","Newly Formed Oligodendrocyte","Group enriched"
"Il1rap","Oligodendrocyte Precursor Cell","Group enriched"
"Il1rap","Myelinating Oligodendrocytes","Group enriched"
"Megf6","Endothelial Cells","Tissue enriched"
"Foxo6","Neuron","Tissue enriched"
"3110039M20Rik","Neuron","Group enriched"
"3110039M20Rik","Oligodendrocyte Precursor Cell","Group enriched"
"3110039M20Rik","Astrocytes","Group enriched"
"Uaca","Endothelial Cells","Tissue enriched"
"Cacnb4","Newly Formed Oligodendrocyte","Group enriched"
"Cacnb4","Oligodendrocyte Precursor Cell","Group enriched"
"Cacnb4","Neuron","Group enriched"
"Cacnb4","Myelinating Oligodendrocytes","Group enriched"
"Mlh3","Oligodendrocyte Precursor Cell","Group enriched"
"Mlh3","Newly Formed Oligodendrocyte","Group enriched"
"Mlh3","Endothelial Cells","Group enriched"
"Mlh3","Astrocytes","Group enriched"
"Mlh3","Neuron","Group enriched"
"Mlh3","Myelinating Oligodendrocytes","Group enriched"
"4930503L19Rik","Endothelial Cells","Group enriched"
"4930503L19Rik","Astrocytes","Group enriched"
"4930503L19Rik","Oligodendrocyte Precursor Cell","Group enriched"
"4930503L19Rik","Newly Formed Oligodendrocyte","Group enriched"
"4930503L19Rik","Neuron","Group enriched"
"Chml","Neuron","Group enriched"
"Chml","Astrocytes","Group enriched"
"Chml","Endothelial Cells","Group enriched"
"Chml","Oligodendrocyte Precursor Cell","Group enriched"
"Chml","Newly Formed Oligodendrocyte","Group enriched"
"Cyp4f14","Astrocytes","Tissue enriched"
"Fzd9","Astrocytes","Group enriched"
"Fzd9","Oligodendrocyte Precursor Cell","Group enriched"
"Scara3","Astrocytes","Group enriched"
"Scara3","Oligodendrocyte Precursor Cell","Group enriched"
"Gabrb3","Neuron","Group enriched"
"Gabrb3","Oligodendrocyte Precursor Cell","Group enriched"
"Trim23","Neuron","Group enriched"
"Trim23","Astrocytes","Group enriched"
"Trim23","Oligodendrocyte Precursor Cell","Group enriched"
"Trim23","Newly Formed Oligodendrocyte","Group enriched"
"Trim23","Endothelial Cells","Group enriched"
"Trim23","Myelinating Oligodendrocytes","Group enriched"
"Tgfbr3","Endothelial Cells","Tissue enriched"
"Glcci1","Oligodendrocyte Precursor Cell","Group enriched"
"Glcci1","Endothelial Cells","Group enriched"
"Glcci1","Newly Formed Oligodendrocyte","Group enriched"
"Glcci1","Neuron","Group enriched"
"Glcci1","Astrocytes","Group enriched"
"Glcci1","Myelinating Oligodendrocytes","Group enriched"
"Hs3st1","Myelinating Oligodendrocytes","Group enriched"
"Hs3st1","Neuron","Group enriched"
"Hs3st1","Newly Formed Oligodendrocyte","Group enriched"
"Cpne5","Neuron","Tissue enriched"
"Cd200","Neuron","Group enriched"
"Cd200","Endothelial Cells","Group enriched"
"Cd200","Oligodendrocyte Precursor Cell","Group enriched"
"Syt4","Neuron","Tissue enriched"
"Tpbg","Astrocytes","Group enriched"
"Tpbg","Neuron","Group enriched"
"Osbpl10","Oligodendrocyte Precursor Cell","Group enriched"
"Osbpl10","Neuron","Group enriched"
"Osbpl10","Endothelial Cells","Group enriched"
"Osbpl10","Newly Formed Oligodendrocyte","Group enriched"
"Ptpn4","Astrocytes","Group enriched"
"Ptpn4","Oligodendrocyte Precursor Cell","Group enriched"
"Ptpn4","Neuron","Group enriched"
"Ptpn4","Newly Formed Oligodendrocyte","Group enriched"
"Ptpn4","Endothelial Cells","Group enriched"
"Cep97","Astrocytes","Group enriched"
"Cep97","Newly Formed Oligodendrocyte","Group enriched"
"Cep97","Oligodendrocyte Precursor Cell","Group enriched"
"Cep97","Endothelial Cells","Group enriched"
"Cep97","Neuron","Group enriched"
"Cep97","Myelinating Oligodendrocytes","Group enriched"
"Rab37","Myelinating Oligodendrocytes","Group enriched"
"Rab37","Newly Formed Oligodendrocyte","Group enriched"
"Lrrcc1","Astrocytes","Group enriched"
"Lrrcc1","Endothelial Cells","Group enriched"
"Lrrcc1","Oligodendrocyte Precursor Cell","Group enriched"
"Lrrcc1","Neuron","Group enriched"
"Lrrcc1","Newly Formed Oligodendrocyte","Group enriched"
"Sdc2","Oligodendrocyte Precursor Cell","Group enriched"
"Sdc2","Astrocytes","Group enriched"
"Sdc2","Neuron","Group enriched"
"Sdc2","Newly Formed Oligodendrocyte","Group enriched"
"Sdc2","Endothelial Cells","Group enriched"
"Fam57a","Myelinating Oligodendrocytes","Group enriched"
"Fam57a","Newly Formed Oligodendrocyte","Group enriched"
"Fam57a","Endothelial Cells","Group enriched"
"Cited1","Oligodendrocyte Precursor Cell","Group enriched"
"Cited1","Neuron","Group enriched"
"Cited1","Astrocytes","Group enriched"
"Cited1","Newly Formed Oligodendrocyte","Group enriched"
"Tbxa2r","Endothelial Cells","Tissue enriched"
"Agt","Astrocytes","Tissue enriched"
"4930523C07Rik","Endothelial Cells","Group enriched"
"4930523C07Rik","Astrocytes","Group enriched"
"Dtna","Astrocytes","Tissue enriched"
"Gjc1","Endothelial Cells","Group enriched"
"Gjc1","Astrocytes","Group enriched"
"Mirg","Neuron","Tissue enriched"
"Disp2","Neuron","Group enriched"
"Disp2","Oligodendrocyte Precursor Cell","Group enriched"
"Fam171b","Astrocytes","Group enriched"
"Fam171b","Neuron","Group enriched"
"Fam171b","Oligodendrocyte Precursor Cell","Group enriched"
"Fam171b","Newly Formed Oligodendrocyte","Group enriched"
"Fam171b","Myelinating Oligodendrocytes","Group enriched"
"Adhfe1","Astrocytes","Tissue enriched"
"Zfp26","Astrocytes","Group enriched"
"Zfp26","Neuron","Group enriched"
"Zfp26","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp26","Newly Formed Oligodendrocyte","Group enriched"
"Zfp26","Endothelial Cells","Group enriched"
"Jub","Endothelial Cells","Group enriched"
"Jub","Astrocytes","Group enriched"
"Nid1","Endothelial Cells","Tissue enriched"
"P2ry14","Endothelial Cells","Tissue enriched"
"Foxf2","Endothelial Cells","Tissue enriched"
"Slc16a9","Endothelial Cells","Tissue enriched"
"Galnt3","Oligodendrocyte Precursor Cell","Tissue enriched"
"Dzip3","Neuron","Group enriched"
"Dzip3","Astrocytes","Group enriched"
"Dzip3","Oligodendrocyte Precursor Cell","Group enriched"
"Dzip3","Newly Formed Oligodendrocyte","Group enriched"
"Fgd1","Oligodendrocyte Precursor Cell","Group enriched"
"Fgd1","Astrocytes","Group enriched"
"Fgd1","Neuron","Group enriched"
"Fgd1","Endothelial Cells","Group enriched"
"Fgd1","Newly Formed Oligodendrocyte","Group enriched"
"Zbtb20","Astrocytes","Group enriched"
"Zbtb20","Neuron","Group enriched"
"Zbtb20","Oligodendrocyte Precursor Cell","Group enriched"
"Zbtb20","Newly Formed Oligodendrocyte","Group enriched"
"Col6a1","Neuron","Group enriched"
"Col6a1","Oligodendrocyte Precursor Cell","Group enriched"
"Pde1a","Neuron","Group enriched"
"Pde1a","Oligodendrocyte Precursor Cell","Group enriched"
"Eltd1","Endothelial Cells","Tissue enriched"
"Slc2a10","Astrocytes","Tissue enriched"
"Ubxn2b","Oligodendrocyte Precursor Cell","Group enriched"
"Ubxn2b","Astrocytes","Group enriched"
"Ubxn2b","Neuron","Group enriched"
"Ubxn2b","Newly Formed Oligodendrocyte","Group enriched"
"Scrt2","Neuron","Tissue enriched"
"Pdgfra","Oligodendrocyte Precursor Cell","Tissue enriched"
"Zfp518b","Neuron","Group enriched"
"Zfp518b","Oligodendrocyte Precursor Cell","Group enriched"
"Zfp518b","Astrocytes","Group enriched"
"Zfp518b","Newly Formed Oligodendrocyte","Group enriched"
"Zfp518b","Endothelial Cells","Group enriched"
"Plcd4","Astrocytes","Tissue enriched"
"1700086L19Rik","Oligodendrocyte Precursor Cell","Group enriched"
"1700086L19Rik","Neuron","Group enriched"
"1700086L19Rik","Newly Formed Oligodendrocyte","Group enriched"
"Arhgef5","Endothelial Cells","Tissue enriched"
"Cyp2j6","Oligodendrocyte Precursor Cell","Group enriched"
"Cyp2j6","Newly Formed Oligodendrocyte","Group enriched"
"Cyp2j6","Astrocytes","Group enriched"
"Cyp2j6","Myelinating Oligodendrocytes","Group enriched"
"Mblac2","Neuron","Group enriched"
"Mblac2","Oligodendrocyte Precursor Cell","Group enriched"
"Mblac2","Astrocytes","Group enriched"
"Mblac2","Newly Formed Oligodendrocyte","Group enriched"
"Mblac2","Myelinating Oligodendrocytes","Group enriched"
"Pcdhga1","Oligodendrocyte Precursor Cell","Group enriched"
"Pcdhga1","Newly Formed Oligodendrocyte","Group enriched"
"Pcdhga1","Neuron","Group enriched"
"Pcdhga1","Endothelial Cells","Group enriched"
"Pcdhga1","Astrocytes","Group enriched"
"Mast4","Endothelial Cells","Group enriched"
"Mast4","Astrocytes","Group enriched"
"Mast4","Myelinating Oligodendrocytes","Group enriched"
"Mast4","Newly Formed Oligodendrocyte","Group enriched"
"Mast4","Oligodendrocyte Precursor Cell","Group enriched"
"Mast4","Neuron","Group enriched"
"Thsd1","Endothelial Cells","Tissue enriched"
"Lipc","Endothelial Cells","Tissue enriched"
"Cntln","Oligodendrocyte Precursor Cell","Group enriched"
"Cntln","Endothelial Cells","Group enriched"
"Cntln","Astrocytes","Group enriched"
"Cntln","Neuron","Group enriched"
"Cntln","Newly Formed Oligodendrocyte","Group enriched"
"Trim16","Endothelial Cells","Tissue enriched"
"Tmem67","Endothelial Cells","Group enriched"
"Tmem67","Astrocytes","Group enriched"
"Tmem67","Neuron","Group enriched"
"Tmem67","Oligodendrocyte Precursor Cell","Group enriched"
"Tmem67","Newly Formed Oligodendrocyte","Group enriched"
"Nck2","Endothelial Cells","Group enriched"
"Nck2","Neuron","Group enriched"
"Nck2","Oligodendrocyte Precursor Cell","Group enriched"
"Nck2","Myelinating Oligodendrocytes","Group enriched"
"Nck2","Newly Formed Oligodendrocyte","Group enriched"
"Nck2","Astrocytes","Group enriched"
"2810459M11Rik","Astrocytes","Group enriched"
"2810459M11Rik","Oligodendrocyte Precursor Cell","Group enriched"
"Cdh13","Oligodendrocyte Precursor Cell","Group enriched"
"Cdh13","Newly Formed Oligodendrocyte","Group enriched"
"Cdh13","Neuron","Group enriched"
"Cdh13","Astrocytes","Group enriched"
"Gdap1","Neuron","Group enriched"
"Gdap1","Oligodendrocyte Precursor Cell","Group enriched"
"Gm11128","Astrocytes","Group enriched"
"Gm11128","Oligodendrocyte Precursor Cell","Group enriched"
"Dpysl3","Neuron","Group enriched"
"Dpysl3","Oligodendrocyte Precursor Cell","Group enriched"
"2610018G03Rik","Neuron","Tissue enriched"
"Ccdc88a","Astrocytes","Group enriched"
"Ccdc88a","Oligodendrocyte Precursor Cell","Group enriched"
"Ccdc88a","Neuron","Group enriched"
"Ccdc88a","Endothelial Cells","Group enriched"
"Ccdc88a","Newly Formed Oligodendrocyte","Group enriched"
"4933407K13Rik","Astrocytes","Group enriched"
"4933407K13Rik","Endothelial Cells","Group enriched"
"4933407K13Rik","Newly Formed Oligodendrocyte","Group enriched"
"4933407K13Rik","Neuron","Group enriched"
"4933407K13Rik","Oligodendrocyte Precursor Cell","Group enriched"
"Gm14378","Astrocytes","Group enriched"
"Gm14378","Oligodendrocyte Precursor Cell","Group enriched"
"Gm14378","Neuron","Group enriched"
"Gm14378","Newly Formed Oligodendrocyte","Group enriched"
"Vps13a","Astrocytes","Group enriched"
"Vps13a","Oligodendrocyte Precursor Cell","Group enriched"
"Vps13a","Endothelial Cells","Group enriched"
"Vps13a","Neuron","Group enriched"
"Vps13a","Newly Formed Oligodendrocyte","Group enriched"
"Gas1","Astrocytes","Group enriched"
"Gas1","Oligodendrocyte Precursor Cell","Group enriched"
"Gsg1l","Astrocytes","Group enriched"
"Gsg1l","Oligodendrocyte Precursor Cell","Group enriched"
"Gsg1l","Neuron","Group enriched"
"Tmem71","Endothelial Cells","Tissue enriched"
"Prc1","Oligodendrocyte Precursor Cell","Group enriched"
"Prc1","Astrocytes","Group enriched"
"Prc1","Endothelial Cells","Group enriched"
"Erc2","Neuron","Tissue enriched"
"Timeless","Neuron","Group enriched"
"Timeless","Endothelial Cells","Group enriched"
"Timeless","Oligodendrocyte Precursor Cell","Group enriched"
"Timeless","Astrocytes","Group enriched"
"Cdh2","Astrocytes","Group enriched"
"Cdh2","Neuron","Group enriched"
"Cdh2","Oligodendrocyte Precursor Cell","Group enriched"
"Cdh2","Endothelial Cells","Group enriched"
"Cdh2","Newly Formed Oligodendrocyte","Group enriched"
"Mtus2","Neuron","Tissue enriched"
"Notch3","Astrocytes","Tissue enriched"
"Lgi1","Neuron","Group enriched"
"Lgi1","Oligodendrocyte Precursor Cell","Group enriched"
"Syde1","Endothelial Cells","Group enriched"
"Syde1","Oligodendrocyte Precursor Cell","Group enriched"
"Syde1","Astrocytes","Group enriched"
"Syde1","Newly Formed Oligodendrocyte","Group enriched"
"4930579G24Rik","Oligodendrocyte Precursor Cell","Group enriched"
"4930579G24Rik","Endothelial Cells","Group enriched"
"4930579G24Rik","Astrocytes","Group enriched"
"4930579G24Rik","Neuron","Group enriched"
"4930579G24Rik","Newly Formed Oligodendrocyte","Group enriched"
"4930579G24Rik","Myelinating Oligodendrocytes","Group enriched"
"Gabrb1","Astrocytes","Tissue enriched"
"Raver2","Astrocytes","Tissue enriched"
"Grik4","Oligodendrocyte Precursor Cell","Group enriched"
"Grik4","Newly Formed Oligodendrocyte","Group enriched"
"Grik4","Neuron","Group enriched"
"Tbc1d8b","Endothelial Cells","Group enriched"
"Tbc1d8b","Oligodendrocyte Precursor Cell","Group enriched"
"Tbc1d8b","Newly Formed Oligodendrocyte","Group enriched"
"Tbc1d8b","Astrocytes","Group enriched"
"Fry","Endothelial Cells","Group enriched"
"Fry","Oligodendrocyte Precursor Cell","Group enriched"
"Fry","Astrocytes","Group enriched"
"Fry","Neuron","Group enriched"
"Fry","Newly Formed Oligodendrocyte","Group enriched"
"Echdc2","Astrocytes","Group enriched"
"Echdc2","Neuron","Group enriched"
"Echdc2","Oligodendrocyte Precursor Cell","Group enriched"
"Nrbp2","Myelinating Oligodendrocytes","Group enriched"
"Nrbp2","Astrocytes","Group enriched"
"Nrbp2","Neuron","Group enriched"
"Nrbp2","Newly Formed Oligodendrocyte","Group enriched"
"Nrbp2","Oligodendrocyte Precursor Cell","Group enriched"
"Slco1a4","Endothelial Cells","Tissue enriched"
"Emid2","Oligodendrocyte Precursor Cell","Group enriched"
"Emid2","Neuron","Group enriched"
"Spon1","Oligodendrocyte Precursor Cell","Group enriched"
"Spon1","Newly Formed Oligodendrocyte","Group enriched"
"Spon1","Astrocytes","Group enriched"
"Hspg2","Endothelial Cells","Tissue enriched"
"Cadps","Neuron","Group enriched"
"Cadps","Oligodendrocyte Precursor Cell","Group enriched"
"Scai","Neuron","Group enriched"
"Scai","Astrocytes","Group enriched"
"Scai","Oligodendrocyte Precursor Cell","Group enriched"
"Scai","Endothelial Cells","Group enriched"
"Scai","Newly Formed Oligodendrocyte","Group enriched"
"Lpar1","Myelinating Oligodendrocytes","Group enriched"
"Lpar1","Newly Formed Oligodendrocyte","Group enriched"
"4930430F08Rik","Astrocytes","Group enriched"
"4930430F08Rik","Oligodendrocyte Precursor Cell","Group enriched"
"4930430F08Rik","Newly Formed Oligodendrocyte","Group enriched"
"4930430F08Rik","Myelinating Oligodendrocytes","Group enriched"
"4930430F08Rik","Neuron","Group enriched"
"4930430F08Rik","Endothelial Cells","Group enriched"
"Usp18","Endothelial Cells","Tissue enriched"
"Brwd3","Astrocytes","Group enriched"
"Brwd3","Endothelial Cells","Group enriched"
"Brwd3","Oligodendrocyte Precursor Cell","Group enriched"
"Brwd3","Neuron","Group enriched"
"Brwd3","Newly Formed Oligodendrocyte","Group enriched"
"Grb10","Endothelial Cells","Tissue enriched"
"Gpr88","Neuron","Tissue enriched"
"Gspt2","Neuron","Group enriched"
"Gspt2","Oligodendrocyte Precursor Cell","Group enriched"
"Gspt2","Astrocytes","Group enriched"
"Gspt2","Newly Formed Oligodendrocyte","Group enriched"
"Ppp1r14c","Oligodendrocyte Precursor Cell","Group enriched"
"Ppp1r14c","Neuron","Group enriched"
"Ppp1r14c","Astrocytes","Group enriched"
"Ppp1r14c","Newly Formed Oligodendrocyte","Group enriched"
"Pcyt1b","Oligodendrocyte Precursor Cell","Group enriched"
"Pcyt1b","Myelinating Oligodendrocytes","Group enriched"
"Pcyt1b","Neuron","Group enriched"
"Pcyt1b","Newly Formed Oligodendrocyte","Group enriched"
"Pcyt1b","Astrocytes","Group enriched"
"Nol3","Myelinating Oligodendrocytes","Group enriched"
"Nol3","Newly Formed Oligodendrocyte","Group enriched"
"Il33","Astrocytes","Group enriched"
"Il33","Oligodendrocyte Precursor Cell","Group enriched"
"Grin2d","Neuron","Group enriched"
"Grin2d","Oligodendrocyte Precursor Cell","Group enriched"
"Dzip1","Astrocytes","Group enriched"
