"Gene","Tissue","Group"
"Tubb5","Newly Formed Oligodendrocyte","Group enriched"
"Maff","Endothelial Cells","Group enriched"
"Maff","Microglia","Group enriched"
"Maff","Astrocytes","Group enriched"
"Gpr183","Microglia","Tissue enriched"
"Gpr84","Microglia","Tissue enriched"
"Tgm2","Microglia","Tissue enriched"
"Cd53","Microglia","Tissue enriched"
"Npl","Microglia","Tissue enriched"
"Arpc3","Endothelial Cells","Group enriched"
"Arpc3","Microglia","Group enriched"
"AF251705","Microglia","Tissue enriched"
"Emr1","Microglia","Tissue enriched"
"Ptgs1","Microglia","Tissue enriched"
"Plxnb2","Microglia","Tissue enriched"
"Il10ra","Microglia","Tissue enriched"
"Ctsh","Endothelial Cells","Group enriched"
"Ctsh","Microglia","Group enriched"
"Fermt3","Microglia","Tissue enriched"
"Mbp","Myelinating Oligodendrocytes","Group enriched"
"Mbp","Newly Formed Oligodendrocyte","Group enriched"
"Lst1","Microglia","Tissue enriched"
"Mknk2","Microglia","Group enriched"
"Mknk2","Endothelial Cells","Group enriched"
"Hcls1","Microglia","Tissue enriched"
"Phyhd1","Microglia","Tissue enriched"
"Rilpl2","Microglia","Tissue enriched"
"Sh3bgrl3","Microglia","Group enriched"
"Sh3bgrl3","Myelinating Oligodendrocytes","Group enriched"
"Sh3bgrl3","Endothelial Cells","Group enriched"
"Sh3bgrl3","Neuron","Group enriched"
"Sh3bgrl3","Newly Formed Oligodendrocyte","Group enriched"
"Sh3bgrl3","Oligodendrocyte Precursor Cell","Group enriched"
"Daglb","Microglia","Tissue enriched"
"Tbc1d10a","Microglia","Group enriched"
"Tbc1d10a","Astrocytes","Group enriched"
"Aif1","Microglia","Tissue enriched"
"Pdgfb","Microglia","Group enriched"
"Pdgfb","Endothelial Cells","Group enriched"
"Itgb2","Microglia","Tissue enriched"
"Basp1","Neuron","Group enriched"
"Basp1","Microglia","Group enriched"
"Basp1","Oligodendrocyte Precursor Cell","Group enriched"
"Gpr34","Microglia","Tissue enriched"
"Tlr2","Microglia","Tissue enriched"
"Cd52","Microglia","Tissue enriched"
"Rcsd1","Microglia","Tissue enriched"
"Plek","Microglia","Tissue enriched"
"Vamp8","Microglia","Group enriched"
"Vamp8","Endothelial Cells","Group enriched"
"Bcl2a1a","Microglia","Tissue enriched"
"H2-D1","Endothelial Cells","Group enriched"
"H2-D1","Microglia","Group enriched"
"Gem","Astrocytes","Group enriched"
"Gem","Microglia","Group enriched"
"Gem","Endothelial Cells","Group enriched"
"Lfng","Microglia","Group enriched"
"Lfng","Astrocytes","Group enriched"
"Mapk3","Myelinating Oligodendrocytes","Group enriched"
"Mapk3","Microglia","Group enriched"
"Mapk3","Newly Formed Oligodendrocyte","Group enriched"
"Mapk3","Endothelial Cells","Group enriched"
"Mapk3","Neuron","Group enriched"
"Cndp2","Microglia","Tissue enriched"
"Fam110a","Microglia","Tissue enriched"
"2310014H01Rik","Microglia","Tissue enriched"
"Entpd1","Microglia","Tissue enriched"
"Mt1","Astrocytes","Group enriched"
"Mt1","Microglia","Group enriched"
"Mt1","Oligodendrocyte Precursor Cell","Group enriched"
"Mt1","Myelinating Oligodendrocytes","Group enriched"
"Mt1","Newly Formed Oligodendrocyte","Group enriched"
"Mt1","Endothelial Cells","Group enriched"
"Mafb","Microglia","Tissue enriched"
"Plekho2","Microglia","Tissue enriched"
"Tmem173","Microglia","Tissue enriched"
"Tnfaip3","Microglia","Group enriched"
"Tnfaip3","Endothelial Cells","Group enriched"
"Tubb6","Microglia","Group enriched"
"Tubb6","Endothelial Cells","Group enriched"
"Mafk","Microglia","Group enriched"
"Mafk","Endothelial Cells","Group enriched"
"Lyn","Microglia","Group enriched"
"Lyn","Endothelial Cells","Group enriched"
"Lrrc33","Microglia","Tissue enriched"
"Stab1","Microglia","Group enriched"
"Stab1","Endothelial Cells","Group enriched"
"Cxcl2","Microglia","Group enriched"
"Cxcl2","Endothelial Cells","Group enriched"
"Grap","Endothelial Cells","Group enriched"
"Grap","Microglia","Group enriched"
"Cmtm7","Microglia","Tissue enriched"
"Sdc4","Microglia","Group enriched"
"Sdc4","Astrocytes","Group enriched"
"P2ry6","Microglia","Tissue enriched"
"Lrrc25","Microglia","Tissue enriched"
"Furin","Microglia","Tissue enriched"
"Lcp1","Microglia","Group enriched"
"Lcp1","Endothelial Cells","Group enriched"
"Cbr2","Microglia","Tissue enriched"
"Evi2a","Microglia","Group enriched"
"Evi2a","Myelinating Oligodendrocytes","Group enriched"
"Evi2a","Newly Formed Oligodendrocyte","Group enriched"
"Fcgrt","Endothelial Cells","Group enriched"
"Fcgrt","Microglia","Group enriched"
"Hvcn1","Microglia","Tissue enriched"
"Blnk","Microglia","Tissue enriched"
"Limd2","Microglia","Tissue enriched"
"Rab3il1","Microglia","Tissue enriched"
"Msn","Endothelial Cells","Group enriched"
"Msn","Microglia","Group enriched"
"Siglech","Microglia","Tissue enriched"
"Tmem63a","Microglia","Group enriched"
"Tmem63a","Myelinating Oligodendrocytes","Group enriched"
"Tmem63a","Newly Formed Oligodendrocyte","Group enriched"
"Rnf19b","Microglia","Tissue enriched"
"F11r","Microglia","Group enriched"
"F11r","Endothelial Cells","Group enriched"
"Atp1a1","Endothelial Cells","Group enriched"
"Atp1a1","Microglia","Group enriched"
"Atp1a1","Oligodendrocyte Precursor Cell","Group enriched"
"Atp1a1","Newly Formed Oligodendrocyte","Group enriched"
"Atp1a1","Myelinating Oligodendrocytes","Group enriched"
"Atp1a1","Neuron","Group enriched"
"Tpst2","Microglia","Group enriched"
"Tpst2","Endothelial Cells","Group enriched"
"Vav1","Microglia","Tissue enriched"
"Tbxas1","Microglia","Tissue enriched"
"Cd74","Microglia","Tissue enriched"
"Ptpn6","Microglia","Tissue enriched"
"Smox","Endothelial Cells","Group enriched"
"Smox","Microglia","Group enriched"
"Smox","Oligodendrocyte Precursor Cell","Group enriched"
"Smox","Newly Formed Oligodendrocyte","Group enriched"
"Smox","Myelinating Oligodendrocytes","Group enriched"
"Smox","Astrocytes","Group enriched"
"Tagln2","Endothelial Cells","Group enriched"
"Tagln2","Microglia","Group enriched"
"Tagln2","Oligodendrocyte Precursor Cell","Group enriched"
"Fgd2","Microglia","Tissue enriched"
"X99384","Microglia","Group enriched"
"X99384","Endothelial Cells","Group enriched"
"Adamts1","Endothelial Cells","Group enriched"
"Adamts1","Microglia","Group enriched"
"Adamts1","Astrocytes","Group enriched"
"Adamts1","Oligodendrocyte Precursor Cell","Group enriched"
"Ifngr1","Microglia","Tissue enriched"
"Csf3r","Microglia","Tissue enriched"
"Hmha1","Microglia","Tissue enriched"
"Cdkn1a","Endothelial Cells","Group enriched"
"Cdkn1a","Microglia","Group enriched"
"Ccr5","Microglia","Tissue enriched"
"Lrp1","Oligodendrocyte Precursor Cell","Group enriched"
"Lrp1","Microglia","Group enriched"
"Lrp1","Astrocytes","Group enriched"
"Lrp1","Newly Formed Oligodendrocyte","Group enriched"
"Lrp1","Neuron","Group enriched"
"Sipa1","Microglia","Group enriched"
"Sipa1","Endothelial Cells","Group enriched"
"Tagap","Microglia","Tissue enriched"
"C3ar1","Microglia","Tissue enriched"
"Zfp36l1","Astrocytes","Group enriched"
"Zfp36l1","Microglia","Group enriched"
"Zfp36l1","Endothelial Cells","Group enriched"
"Zfp36l1","Oligodendrocyte Precursor Cell","Group enriched"
"Slc7a7","Microglia","Tissue enriched"
"Susd3","Microglia","Tissue enriched"
"Plaur","Microglia","Group enriched"
"Plaur","Endothelial Cells","Group enriched"
"Egr2","Microglia","Tissue enriched"
"Nfkbib","Microglia","Group enriched"
"Nfkbib","Newly Formed Oligodendrocyte","Group enriched"
"Adrb2","Microglia","Tissue enriched"
"Hck","Microglia","Tissue enriched"
"Ccl7","Microglia","Tissue enriched"
"Isyna1","Endothelial Cells","Group enriched"
"Isyna1","Microglia","Group enriched"
"Fcgr2b","Microglia","Tissue enriched"
"1110007C09Rik","Microglia","Group enriched"
"1110007C09Rik","Myelinating Oligodendrocytes","Group enriched"
"1110007C09Rik","Newly Formed Oligodendrocyte","Group enriched"
"1110007C09Rik","Endothelial Cells","Group enriched"
"Twf2","Microglia","Group enriched"
"Twf2","Endothelial Cells","Group enriched"
"Tspan4","Microglia","Group enriched"
"Tspan4","Endothelial Cells","Group enriched"
"Gna15","Microglia","Tissue enriched"
"2900073G15Rik","Endothelial Cells","Group enriched"
"2900073G15Rik","Microglia","Group enriched"
"Sirt2","Newly Formed Oligodendrocyte","Group enriched"
"Sirt2","Myelinating Oligodendrocytes","Group enriched"
"Rgs2","Microglia","Tissue enriched"
"Arpc1b","Microglia","Group enriched"
"Arpc1b","Myelinating Oligodendrocytes","Group enriched"
"Arpc1b","Endothelial Cells","Group enriched"
"Arpc1b","Newly Formed Oligodendrocyte","Group enriched"
"Prkcd","Microglia","Group enriched"
"Prkcd","Astrocytes","Group enriched"
"Prkcd","Neuron","Group enriched"
"C5ar1","Microglia","Tissue enriched"
"Serpinf1","Microglia","Tissue enriched"
"Ptpn1","Microglia","Tissue enriched"
"Ang","Microglia","Tissue enriched"
